group,text,annotator_1,annotator_2,n_terms_a1,n_terms_a2,intersection,union,jaccard
A,A,IMM,MCM,215,252,96,371,0.2588
A,A,IMM,FBO,215,218,201,232,0.8664
A,A,MCM,FBO,252,218,101,369,0.2737
A,B,IMM,MCM,84,124,34,174,0.1954
A,B,IMM,FBO,84,78,74,88,0.8409
A,B,MCM,FBO,124,78,35,167,0.2096
A,C,IMM,MCM,50,31,18,63,0.2857
A,C,IMM,FBO,50,41,40,51,0.7843
A,C,MCM,FBO,31,41,15,57,0.2632
B,A,RPV,FFR,63,39,22,80,0.275
B,A,RPV,COB,63,18,7,74,0.0946
B,A,FFR,COB,39,18,9,48,0.1875
B,B,RPV,FFR,32,46,19,59,0.322
B,B,RPV,COB,32,6,5,33,0.1515
B,B,FFR,COB,46,6,3,49,0.0612
B,C,RPV,FFR,41,20,12,49,0.2449
B,C,RPV,COB,41,8,8,41,0.1951
B,C,FFR,COB,20,8,5,23,0.2174
M,A,JNA,RGS,164,212,76,300,0.2533
M,A,JNA,JZR,164,78,39,203,0.1921
M,A,RGS,JZR,212,78,53,237,0.2236
M,B,JNA,RGS,103,89,32,160,0.2
M,B,JNA,JZR,103,34,15,122,0.123
M,B,RGS,JZR,89,34,23,100,0.23
M,C,JNA,RGS,60,46,23,83,0.2771
M,C,JNA,JZR,60,30,19,71,0.2676
M,C,RGS,JZR,46,30,19,57,0.3333
