annotator_1,annotator_2,n_terms_a1,n_terms_a2,intersection,union,jaccard,kappa
IMM,JNA,215,164,80,299,0.26755852842809363,-0.5298941613513704
IMM,RPV,215,63,38,240,0.15833333333333333,-0.2233156699470098
IMM,FFR,215,39,30,224,0.13392857142857142,-0.0829885859542443
IMM,RGS,215,212,111,316,0.3512658227848101,-0.47994151512382355
IMM,MCM,215,252,96,371,0.2587601078167116,-0.5721065688706719
IMM,FBO,215,218,201,232,0.8663793103448276,-0.0708755211435379
IMM,JZR,215,78,58,235,0.24680851063829787,-0.17782811836330192
IMM,COB,215,18,18,215,0.08372093023255814,0.0
JNA,RPV,164,63,34,193,0.17616580310880828,-0.3257441569101829
JNA,FFR,164,39,28,175,0.16,-0.13161483306206856
JNA,RGS,164,212,76,300,0.25333333333333335,-0.5532544378698225
JNA,MCM,164,252,48,368,0.13043478260869565,-0.6719672875965472
JNA,FBO,164,218,82,300,0.2733333333333333,-0.5175422312975682
JNA,JZR,164,78,39,203,0.1921182266009852,-0.4141534279160648
JNA,COB,164,18,16,166,0.0963855421686747,-0.0243541220997201
RPV,FFR,63,39,22,80,0.275,-0.4294516327788045
RPV,RGS,63,212,45,230,0.1956521739130435,-0.1645410257813782
RPV,MCM,63,252,24,291,0.08247422680412371,-0.2968304040859244
RPV,FBO,63,218,39,242,0.16115702479338842,-0.21197019785858795
RPV,JZR,63,78,24,117,0.20512820512820512,-0.631578947368421
RPV,COB,63,18,7,74,0.0945945945945946,-0.33064949006977984
FFR,RGS,39,212,31,220,0.1409090909090909,-0.07486299245165973
FFR,MCM,39,252,14,277,0.05054151624548736,-0.1952387983790258
FFR,FBO,39,218,34,223,0.15246636771300448,-0.04564963902051744
FFR,JZR,39,78,16,101,0.15841584158415842,-0.49747078318506865
FFR,COB,39,18,9,48,0.1875,-0.4054054054054055
RGS,MCM,212,252,73,391,0.1867007672634271,-0.6672656082385753
RGS,FBO,212,218,108,322,0.33540372670807456,-0.49708872859998254
RGS,JZR,212,78,53,237,0.22362869198312235,-0.2229513713612652
RGS,COB,212,18,14,216,0.06481481481481481,-0.037671232876712146
MCM,FBO,252,218,101,369,0.27371273712737126,-0.5559331634097988
MCM,JZR,252,78,28,302,0.09271523178807947,-0.3711804865115662
MCM,COB,252,18,15,255,0.058823529411764705,-0.023788015657934203
FBO,JZR,218,78,58,238,0.24369747899159663,-0.17563117453347976
FBO,COB,218,18,18,218,0.08256880733944955,0.0
JZR,COB,78,18,14,82,0.17073170731707318,-0.10110584518167465
