annotator_1,annotator_2,n_terms_a1,n_terms_a2,intersection,union,jaccard,kappa
RGS,JNA,84,103,46,141,0.3262411347517731,-0.4779874213836479
RGS,RPV,84,32,24,92,0.2608695652173913,-0.18126888217522663
RGS,FFR,84,46,36,94,0.3829787234042553,-0.2137132680320568
RGS,AGC,84,89,46,127,0.36220472440944884,-0.46559338937170525
RGS,MCM,84,124,34,174,0.19540229885057472,-0.5859375
RGS,FBO,84,78,74,88,0.8409090909090909,-0.06944444444444442
RGS,JZR,84,34,20,98,0.20408163265306123,-0.30622009569377995
RGS,COB,84,6,5,85,0.058823529411764705,-0.023788015657934203
JNA,RPV,103,32,17,118,0.1440677966101695,-0.2762904262154635
JNA,FFR,103,46,27,122,0.22131147540983606,-0.33187772925764203
JNA,AGC,103,89,32,160,0.2,-0.6534797351848862
JNA,MCM,103,124,35,192,0.18229166666666666,-0.6709534368070955
JNA,FBO,103,78,41,140,0.29285714285714287,-0.494823123382226
JNA,JZR,103,34,15,122,0.12295081967213115,-0.344387229660144
JNA,COB,103,6,4,105,0.0380952380952381,-0.038789303555686105
RPV,FFR,32,46,19,59,0.3220338983050847,-0.42340168878166473
RPV,AGC,32,89,24,97,0.24742268041237114,-0.17215692766098334
RPV,MCM,32,124,22,134,0.16417910447761194,-0.15731030228254173
RPV,FBO,32,78,21,89,0.23595505617977527,-0.2613588995414755
RPV,JZR,32,34,11,55,0.2,-0.6643741403026133
RPV,COB,32,6,5,33,0.15151515151515152,-0.06206896551724128
FFR,AGC,46,89,34,101,0.33663366336633666,-0.2423352304020563
FFR,MCM,46,124,31,139,0.22302158273381295,-0.2282768777614137
FFR,FBO,46,78,35,89,0.39325842696629215,-0.24507772020725405
FFR,JZR,46,34,17,63,0.2698412698412698,-0.5156903765690377
FFR,COB,46,6,3,49,0.061224489795918366,-0.1292585170340681
AGC,MCM,89,124,48,165,0.2909090909090909,-0.4767077181978123
AGC,FBO,89,78,45,122,0.36885245901639346,-0.4474576271186439
AGC,JZR,89,34,23,100,0.23,-0.232394366197183
AGC,COB,89,6,5,90,0.05555555555555555,-0.02245388933440262
MCM,FBO,124,78,35,167,0.20958083832335328,-0.5318971507991659
MCM,JZR,124,34,20,138,0.14492753623188406,-0.21776847143284472
MCM,COB,124,6,4,126,0.031746031746031744,-0.03223207091055591
FBO,JZR,78,34,20,92,0.21739130434782608,-0.3248000000000002
FBO,COB,78,6,5,79,0.06329113924050633,-0.0256140350877192
JZR,COB,34,6,2,38,0.05263157894736842,-0.2302158273381294
