annotator_1,annotator_2,n_terms_a1,n_terms_a2,intersection,union,jaccard,kappa
RGS,JNA,50,60,27,83,0.3253012048192771,-0.48498402555910536
RGS,RPV,50,41,23,68,0.3382352941176471,-0.4655172413793105
RGS,FFR,50,20,12,58,0.20689655172413793,-0.295145631067961
RGS,AGC,50,46,19,77,0.24675324675324675,-0.5995702005730659
RGS,MCM,50,31,18,63,0.2857142857142857,-0.4153769345981029
RGS,FBO,50,41,40,51,0.7843137254901961,-0.036968576709796475
RGS,JZR,50,30,15,65,0.23076923076923078,-0.4772727272727273
RGS,COB,50,8,7,51,0.13725490196078433,-0.03985171455050973
JNA,RPV,60,41,21,80,0.2625,-0.49367088607594933
JNA,FFR,60,20,14,66,0.21212121212121213,-0.19166666666666665
JNA,AGC,60,46,23,83,0.27710843373493976,-0.5192190359975597
JNA,MCM,60,31,20,71,0.28169014084507044,-0.3210507114191903
JNA,FBO,60,41,24,77,0.3116883116883117,-0.4284214210710535
JNA,JZR,60,30,19,71,0.2676056338028169,-0.3232974910394264
JNA,COB,60,8,8,60,0.13333333333333333,0.0
RPV,FFR,41,20,12,49,0.24489795918367346,-0.3439584877687176
RPV,AGC,41,46,21,66,0.3181818181818182,-0.5076142131979695
RPV,MCM,41,31,17,55,0.3090909090909091,-0.4739069111424541
RPV,FBO,41,41,19,63,0.30158730158730157,-0.5365853658536586
RPV,JZR,41,30,17,54,0.3148148148148148,-0.4541484716157207
RPV,COB,41,8,8,41,0.1951219512195122,0.0
FFR,AGC,20,46,13,53,0.24528301886792453,-0.2786489746682752
FFR,MCM,20,31,17,34,0.5,-0.17004048582995934
FFR,FBO,20,41,12,49,0.24489795918367346,-0.3439584877687176
FFR,JZR,20,30,15,35,0.42857142857142855,-0.2727272727272727
FFR,COB,20,8,5,23,0.21739130434782608,-0.2777777777777779
AGC,MCM,46,31,19,58,0.3275862068965517,-0.4014869888475834
AGC,FBO,46,41,18,69,0.2608695652173913,-0.5773195876288659
AGC,JZR,46,30,19,57,0.3333333333333333,-0.3778625954198471
AGC,COB,46,8,7,47,0.14893617021276595,-0.04328523862375144
MCM,FBO,31,41,15,57,0.2631578947368421,-0.532650448143406
MCM,JZR,31,30,18,43,0.4186046511627907,-0.4089121887287024
MCM,COB,31,8,8,31,0.25806451612903225,0.0
FBO,JZR,41,30,14,57,0.24561403508771928,-0.5444234404536861
FBO,COB,41,8,6,43,0.13953488372093023,-0.09648518263266714
JZR,COB,30,8,6,32,0.1875,-0.13043478260869557
