group,text,annotator_1,annotator_2,n_terms_a1,n_terms_a2,intersection_exact,union_exact,jaccard,pert_sym
A,A,RGS,MCM,215,252,96,371,0.2588,128.0494
A,A,RGS,FBO,215,218,201,232,0.8664,207.647
A,A,MCM,FBO,252,218,101,369,0.2737,133.5975
A,B,RGS,MCM,84,124,34,174,0.1954,50.9012
A,B,RGS,FBO,84,78,74,88,0.8409,76.6588
A,B,MCM,FBO,124,78,35,167,0.2096,50.0234
A,C,RGS,MCM,50,31,18,63,0.2857,20.6678
A,C,RGS,FBO,50,41,40,51,0.7843,40.4
A,C,MCM,FBO,31,41,15,57,0.2632,17.3795
B,A,RPV,FFR,63,39,22,80,0.275,30.0611
B,A,RPV,COB,63,18,7,74,0.0946,13.1674
B,A,FFR,COB,39,18,9,48,0.1875,13.7823
B,B,RPV,FFR,32,46,19,59,0.322,23.6106
B,B,RPV,COB,32,6,5,33,0.1515,6.712
B,B,FFR,COB,46,6,3,49,0.0612,5.01
B,C,RPV,FFR,41,20,12,49,0.2449,15.1147
B,C,RPV,COB,41,8,8,41,0.1951,9.3991
B,C,FFR,COB,20,8,5,23,0.2174,6.3939
M,A,JNA,AGC,164,212,76,300,0.2533,102.4897
M,A,JNA,JZR,164,78,39,203,0.1921,57.2199
M,A,AGC,JZR,212,78,53,237,0.2236,77.0488
M,B,JNA,AGC,103,89,32,160,0.2,40.6964
M,B,JNA,JZR,103,34,15,122,0.123,21.1836
M,B,AGC,JZR,89,34,23,100,0.23,27.6177
M,C,JNA,AGC,60,46,23,83,0.2771,27.4557
M,C,JNA,JZR,60,30,19,71,0.2676,22.0848
M,C,AGC,JZR,46,30,19,57,0.3333,22.9936
